instance_id	sample_id	oncotree_code	n_spots_in_tls	st_technology	GC_score	Tfh_score	Plasma_score	HEV_score	Suppressive	Myeloid_supp	Cytotoxic	Neighbor_TGFB1	Neighbor_VEGFA	Neighbor_CD8A	Neighbor_tumor_fraction	Neighbor_myeloid_fraction
MEND140_2	MEND140	PRAD	6	Visium	0.478641	-0.550012	-0.702927	-0.390956	-0.751149	-0.421825	0.02833	-1.285029	0.276625	-0.659962	0.926671	-1.179846
MEND142_18	MEND142	PRAD	17	Visium	0.669993	0.839556	0.827859	1.528604	-0.940849	-0.034083	-0.48685	-1.139091	0.308093	-0.171276	-0.656626	-0.942502
MEND142_21	MEND142	PRAD	14	Visium	1.432009	1.670642	0.185049	1.242191	-0.923382	-0.421825	-0.62463	-1.214496	-0.576292	0.801165	-2.117689	-0.926151
MEND142_24	MEND142	PRAD	6	Visium	-0.34505	-0.550012	2.149991	0.099215	-1.081709	0.144046	-0.62463	-1.428969	-1.001058	-0.364606	-1.165343	-1.057365
MEND149_2	MEND149	PRAD	9	Visium	-0.164613	1.069174	-0.648581	0.706693	-1.081709	-0.421825	-0.374557	-0.77589	-0.255407	-0.438263	-2.199827	-0.654293
MEND149_3	MEND149	PRAD	18	Visium	0.222141	-0.032803	-0.517326	0.962647	-1.081709	-0.237026	-0.500153	-1.259457	-0.560157	0.461996	-2.229967	-0.744837
MEND151_2	MEND151	PRAD	5	Visium	0.985228	-0.550012	-0.747511	0.364762	-1.081709	-0.421825	-0.62463	-1.041642	-0.796499	-0.659962	-0.489458	-1.107935
MEND154_0	MEND154	PRAD	17	Visium	-0.501935	-0.333293	-0.662284	-0.331452	-0.964595	-0.421825	-0.62463	-1.534961	-0.741258	-0.302923	-1.35289	-1.371602
MEND154_1	MEND154	PRAD	8	Visium	-0.799156	-0.550012	-0.535366	-0.315581	-0.83285	0.811141	-0.422406	-1.409039	-0.25214	-0.438352	0.022296	-1.135932
MEND154_2	MEND154	PRAD	8	Visium	-0.799156	-0.550012	-0.47755	-0.428324	-0.704264	-0.421825	-0.346854	-1.185994	0.751953	-0.397552	0.075245	-1.091574
MEND154_3	MEND154	PRAD	9	Visium	1.081078	-0.317456	0.009216	0.626799	-0.877884	0.294941	-0.428474	-1.298897	2.355117	-0.121708	0.545269	-1.092595
MEND154_5	MEND154	PRAD	4	Visium	-0.799156	-0.550012	-0.723483	0.703297	-1.081709	-0.421825	-0.62463	-1.225671	-0.431328	-0.286293	-0.670688	-0.801114
MEND154_6	MEND154	PRAD	8	Visium	-0.278539	-0.550012	-0.5551	0.058956	-0.833888	-0.421825	-0.62463	-1.226448	3.083771	-0.659962	0.607245	-1.243982
MEND154_7	MEND154	PRAD	11	Visium	0.895931	-0.253819	0.08325	1.101409	-0.19295	1.272213	-0.018917	-0.950068	2.260501	0.40479	-0.340408	-0.344339
MEND154_8	MEND154	PRAD	10	Visium	-0.500443	-0.550012	-0.436946	0.061129	-1.081709	-0.421825	-0.423219	-1.373818	0.844686	-0.506458	-0.570651	-1.247183
MEND156_0	MEND156	PRAD	6	Visium	-0.799156	-0.550012	-0.858946	-0.774865	-1.081709	-0.421825	-0.62463	-1.604559	-0.756134	-0.659962	-1.650242	-1.575831
MEND156_1	MEND156	PRAD	12	Visium	-0.799156	-0.550012	-0.858946	-0.774865	-1.081709	-0.421825	-0.62463	-1.545986	-0.686878	-0.659962	-1.726606	-1.359388
MEND156_10	MEND156	PRAD	24	Visium	0.244418	-0.550012	-0.07831	-0.323989	-0.906717	-0.176673	-0.5232	-1.309871	0.798395	-0.319594	0.214118	-0.775153
MEND156_11	MEND156	PRAD	22	Visium	1.563401	-0.550012	-0.248109	0.671589	-0.528544	0.222465	0.718444	-1.309871	0.798395	-0.319594	0.214118	-0.775153
MEND156_12	MEND156	PRAD	17	Visium	-0.309647	-0.550012	0.317179	-0.031649	-0.881728	-0.278069	-0.23179	-1.309871	0.798395	-0.319594	0.214118	-0.775153
MEND156_13	MEND156	PRAD	13	Visium	0.459043	-0.550012	0.038839	0.120832	-0.95092	0.436411	0.108695	-1.309871	0.798395	-0.319594	0.214118	-0.775153
MEND156_14	MEND156	PRAD	5	Visium	0.059839	-0.550012	-0.163564	0.054931	-1.081709	-0.421825	-0.62463	-1.367684	1.839017	-0.659962	-0.355157	-1.096521
MEND156_15	MEND156	PRAD	12	Visium	0.889268	-0.357774	-0.301085	0.635384	-0.266098	0.063896	-0.241842	-1.064341	0.396084	-0.429959	-0.940177	0.230935
MEND156_16	MEND156	PRAD	6	Visium	-0.799156	-0.550012	-0.858946	-0.774865	-1.081709	-0.421825	-0.62463	-1.617598	-1.274969	-0.659962	-2.467848	-1.682526
MEND156_17	MEND156	PRAD	31	Visium	-0.127135	-0.550012	0.358869	0.447553	-0.941525	0.308835	-0.20515	-1.292973	2.492412	-0.408879	0.500356	-0.876229
MEND156_19	MEND156	PRAD	7	Visium	-0.799156	-0.550012	-0.632529	-0.465073	-0.77426	-0.421825	-0.62463	-1.485659	1.290789	-0.659962	-0.880711	-1.36119
MEND156_2	MEND156	PRAD	16	Visium	-0.799156	-0.550012	-0.858946	-0.774865	-1.081709	-0.421825	-0.62463	-1.617598	-1.197441	-0.659962	-2.442037	-1.657834
MEND156_21	MEND156	PRAD	7	Visium	-0.48588	-0.550012	-0.858946	-0.774865	-1.081709	-0.421825	-0.62463	-1.370369	3.07319	-0.402537	0.135367	-1.186284
MEND156_23	MEND156	PRAD	40	Visium	0.585486	-0.377997	0.216972	-0.106048	-0.88237	0.118119	-0.344493	-1.341302	2.609407	-0.359035	-0.003539	-0.687879
MEND156_3	MEND156	PRAD	18	Visium	0.301944	-0.455235	-0.674964	0.226528	-1.081709	-0.143269	-0.62463	-1.544005	-0.448857	-0.575846	-0.67149	-1.425392
MEND156_4	MEND156	PRAD	36	Visium	-0.708548	-0.550012	-0.564237	-0.492326	-1.081709	-0.334693	-0.62463	-1.513455	0.046858	-0.596744	-0.971223	-1.101297
MEND156_5	MEND156	PRAD	46	Visium	-0.112181	-0.473369	-0.63849	0.139836	-0.976164	0.101297	-0.471268	-1.517088	-0.284802	-0.559544	-0.901388	-1.178059
MEND156_6	MEND156	PRAD	71	Visium	1.230488	-0.550012	0.378224	0.198613	-0.758056	0.376894	-0.025957	-1.170879	0.074098	-0.129257	0.131172	-0.34703
MEND156_7	MEND156	PRAD	16	Visium	-0.06329	-0.364719	-0.357942	0.042306	-0.688334	-0.08618	-0.389977	-1.516117	1.701932	-0.659962	-0.516802	-1.407945
MEND156_8	MEND156	PRAD	121	Visium	-0.184696	-0.509312	-0.507051	-0.195558	-0.908586	-0.11993	-0.567208	-1.309871	0.798395	-0.319594	0.214118	-0.775153
